Type,Department,Desk,EID,Hire Date,Job Title,Level,Direct Manager EID,Location,Gender,Total Years of Experince within EFG Hermes,2022 Performance Appraisal,2021 Performance Appraisal,2020 Performance Appraisal,2019 Performance Appraisal,2018 Performance Appraisal,2023 Promotions,2022 Promotions,2021 Promotions,2020 Promotions,2019 Promotions
Business Partner,Corporate Financing Solutions,"CFS, Operations",2756,1-Apr-22,Operations Officer,Analyst,2555,Egypt - Head Office,Male,1 Year(s) 2 Month(s) 19 Day(s),Meets Expectations,Hired 2022,Hired 2022,Hired 2022,Hired 2022,,,,,
Business Partner,Corporate Financing Solutions,"CFS, Operations",1886,1-Apr-15,Operations Officer,Associate,1994,Egypt - Head Office,Female,8 Year(s) 2 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Needs Development,Above Expectations,,,,,Analyst - Associate: Mar 2019
Business Line,Corporate Financing Solutions,"CFS, Business Development",2568,1-Mar-21,Senior Business Development Executive,Associate,2004,Egypt - Head Office,Male,2 Year(s) 3 Month(s) 19 Day(s),Above Expectations,Meets Expectations,Hired 2021,Hired 2021,Hired 2021,,,,,
Business Line,Corporate Financing Solutions,"CFS, Business Development",2513,15-Mar-20,Senior Business Development Executive,Associate,2397,Egypt - Head Office,Male,3 Year(s) 3 Month(s) 5 Day(s),Meets Expectations,Needs Development,Needs Development,Hired 2020,Hired 2020,,,,,
Business Line,Corporate Financing Solutions,"CFS, Business Development",2570,1-Mar-21,Business Development Executive,Associate,2526,Egypt - Head Office,Male,2 Year(s) 3 Month(s) 19 Day(s),Needs Development,Meets Expectations,Hired 2021,Hired 2021,Hired 2021,,,,,
Business Partner,Corporate Financing Solutions,"CFS, Operations",2501,1-Feb-20,Operations Officer,Associate,2555,Egypt - Head Office,Female,3 Year(s) 4 Month(s) 19 Day(s),Meets Expectations,Above Expectations,Meets Expectations,Hired 2019,Hired 2019,Analyst - Associate: Mar 2023,,,,
Business Partner,Corporate Financing Solutions,"CFS, Operations",2571,1-Mar-21,Senior Operations Officer,Associate,2555,Egypt - Head Office,Male,2 Year(s) 3 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Hired 2021,Hired 2021,Hired 2021,Analyst - Associate: Mar 2023,,,,
Business Partner,Corporate Financing Solutions,"CFS, Operations",1885,1-Apr-15,Operations Senior Head - Leasing,Associate Director,1872,Egypt - Head Office,Female,8 Year(s) 2 Month(s) 19 Day(s),Meets Expectations,Above Expectations,Meets Expectations,Meets Expectations,Above Expectations,,,,,
Business Partner,Corporate Financing Solutions,"CFS, Operations",2555,17-Jan-21,Clients Relations & Operations Head,Associate Director,1872,Egypt - Head Office,Female,2 Year(s) 5 Month(s) 3 Day(s),Meets Expectations,Meets Expectations,Hired 2021,Hired 2021,Hired 2021,,,,,
Business Line,Corporate Financing Solutions,"CFS, Business Development",2004,11-Oct-20,Business Development Senior Manager,Associate Director,1994,Egypt - Head Office,Male,2 Year(s) 8 Month(s) 9 Day(s),Above Expectations,Meets Expectations,Re-Hired 2020,Above Expectations,Meets Expectations,Vice President - Associate Director: Mar 2023,,Associate VP - Vice President: Mar 2021,,
Business Line,Corporate Financing Solutions,"CFS, Business Development",2397,1-Mar-19,Business Development Senior Manager,Associate Director,1994,Egypt - Head Office,Male,4 Year(s) 3 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,Hired 2019,,Vice President - Associate Director: Mar 2022,,,
Business Line,Corporate Financing Solutions,"CFS, Business Development",2526,1-Jul-20,Business Development Senior Manager,Associate Director,1994,Egypt - Head Office,Male,2 Year(s) 11 Month(s) 19 Day(s),Incomplete,Above Expectations,Hired 2020,Hired 2020,Hired 2020,,Vice President - Associate Director: Mar 2022,,,
Business Partner,Corporate Financing Solutions,"CFS, Operations",1890,1-Apr-15,Operations Manager,Associate VP,1994,Egypt - Head Office,Female,8 Year(s) 2 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,,,,,
Business Line,Corporate Financing Solutions,"CFS, Business Development",1892,1-Apr-15,Business Development Manager,Associate VP,1994,Egypt - Head Office,Male,8 Year(s) 2 Month(s) 19 Day(s),Incomplete,Meets Expectations,Needs Development,Needs Development,Meets Expectations,,,,,
Business Partner,Corporate Financing Solutions,"CFS, Operations",2079,1-Jul-17,Operations Assistant Manager,Associate VP,1994,Egypt - Head Office,Male,5 Year(s) 11 Month(s) 19 Day(s),Above Expectations,Above Expectations,Meets Expectations,Meets Expectations,Meets Expectations,,Associate - Associate VP: Mar 2022,,,
Business Line,Corporate Financing Solutions,"CFS, Business Development",2753,1-Apr-22,Business Development Assistant Manager,Associate VP,2004,Egypt - Head Office,Female,1 Year(s) 2 Month(s) 19 Day(s),Meets Expectations,Hired 2022,Hired 2022,Hired 2022,Hired 2022,,,,,
Business Partner,Corporate Financing Solutions,"CFS, Operations",2355,1-Oct-18,Operations Assistant Manager,Associate VP,2555,Egypt - Head Office,Female,4 Year(s) 8 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,Hired 2018,,,Associate - Associate VP: Mar 2021,,
Business Partner,Corporate Financing Solutions,"CFS, Operations",1872,1-Mar-15,Operations Senior Director,Director,1881,Egypt - Head Office,Male,8 Year(s) 3 Month(s) 19 Day(s),Incomplete,Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,,,,,
Business Line,Corporate Financing Solutions,"CFS, Business Development",1994,10-Jul-16,General Manager,Director,1881,Egypt - Head Office,Male,6 Year(s) 11 Month(s) 10 Day(s),Above Expectations,Above Expectations,Above Expectations,Meets Expectations,Above Expectations,,,,,
Business Line,Corporate Financing Solutions,Corporate Financing Solutions,1881,22-Mar-15,"CEO, Corporate Financing Solutions",Managing Director,236,Egypt - Head Office,Male,8 Year(s) 2 Month(s) 28 Day(s),Meets Expectations,Above Expectations,Above Expectations,Above Expectations,Above Expectations,,,,,Director - Managing Director: Mar 2019
Business Partner,Corporate Financing Solutions,"CFS, Operations",1898,1-May-15,Operations Manager,Vice President,1885,Egypt - Head Office,Female,8 Year(s) 1 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,,,,Associate VP - Vice President:Mar 2020,
Business Partner,Corporate Financing Solutions,"CFS, Operations",2094,1-Aug-17,Operations Manager,Vice President,1885,Egypt - Head Office,Male,5 Year(s) 10 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Above Expectations,Meets Expectations,Meets Expectations,,,Associate VP - Vice President: Mar 2021,,
Business Partner,Corporate Financing Solutions,"CFS, Operations",1908,14-Jun-15,Operations Senior Manager,Vice President,1994,Egypt - Head Office,Male,8 Year(s) 0 Month(s) 6 Day(s),Meets Expectations,Meets Expectations,Above Expectations,Meets Expectations,Meets Expectations,,,,,
Business Partner,Corporate Financing Solutions,"CFS, Operations",2093,1-Aug-17,Operations Manager,Vice President,1994,Egypt - Head Office,Male,5 Year(s) 10 Month(s) 19 Day(s),Meets Expectations,Above Expectations,Meets Expectations,Meets Expectations,Meets Expectations,,Associate VP - Vice President: Mar 2022,,,Associate - Associate VP: Mar 2019
Business Line,Corporate Financing Solutions,"CFS, Business Development, Collection & Recovery",2505,1-Feb-20,Collection & Recovery Manager,Vice President,1994,Egypt - Head Office,Male,3 Year(s) 4 Month(s) 19 Day(s),Above Expectations,Meets Expectations,Meets Expectations,Hired 2020,Hired 2020,Associate VP - Vice President: Mar 2023,,,,
Business Line,Corporate Financing Solutions,"CFS, Business Development",2726,1-Mar-22,Business Development Manager,Vice President,1994,Egypt - Head Office,,1 Year(s) 3 Month(s) 19 Day(s),Needs Development,Hired 2022,Hired 2022,Hired 2022,Hired 2022,,,,,
Business Partner,Corporate Financing Solutions,"CFS, Operations",2373,1-Dec-18,Client Relations Manager,Vice President,2555,Egypt - Head Office,Male,4 Year(s) 6 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Needs Development,Hired 2018,,,,,
Business Partner,Corporate Social Responsibility,Corporate Social Responsibility,1658,18-Oct-99,Sustainability Director,Director,779,Egypt - Head Office,Male,23 Year(s) 8 Month(s) 2 Day(s),Meets Expectations,Meets Expectations,Above Expectations,Meets Expectations,Meets Expectations,,,Associate Director - Director: Mar 2021,,
Business Partner,Corporate Social Responsibility,Corporate Social Responsibility,1858,1-Jan-15,Project Director,Director,779,Egypt - Head Office,Female,8 Year(s) 5 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,,,,,
Business Line,Countries Management,Countries Management,928,22-Jul-07,Chief Executive Officer,Managing Director,195,UAE - DIFC,Male,15 Year(s) 10 Month(s) 28 Day(s),Needs Development,Above Expectations,Meets Expectations,Meets Expectations,Needs Development,,,,,
Business Line,Countries Management,Countries Management,2006,1-Sep-16,CEO North America,Managing Director,195,USA - New York,Male,6 Year(s) 9 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Above Expectations,Meets Expectations,Exception to be done in March ,,,,,
Business Line,Countries Management,Countries Management,2738,27-Mar-22,Chief Executive Officer,Managing Director,195,KSA - Riyadh,Male,1 Year(s) 2 Month(s) 23 Day(s),Meets Expectations,Hired 2022,Hired 2022,Hired 2022,Hired 2022,,,,,
Business Line,Countries Management,Countries Management,1554,1-Apr-10,CEO Securities Brokerage - Jordan,Managing Director,963,Jordan - Amman,Male,13 Year(s) 2 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations,Meets Expectations,,,,,
Business Partner,Countries Management's Office Management,Countries Management's Office Management,954,15-Jun-09,Senior Executive Assistant,Professional,405,KSA - Riyadh,Female,14 Year(s) 0 Month(s) 5 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,Senior Specialist - A - Professional - C: Mar 2023,,,,
Business Partner,Countries Management's Office Management,Countries Management's Office Management,2248,1-Mar-18,Senior Personal Assistant,Senior Specialist,928,UAE - DIFC,Female,5 Year(s) 3 Month(s) 19 Day(s),Meets Expectations,Above Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Line,Coverage,Coverage,1973,1-May-16,"Analyst, Coverage",Associate,928,KSA - Riyadh,Male,7 Year(s) 1 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,Analyst - Associate: Mar 2023,,,,
Business Line,Coverage,Coverage,2010,27-Sep-16,"Associate VP, Coverage",Associate VP,928,Egypt - Head Office,Male,6 Year(s) 8 Month(s) 23 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Above Expectations,Meets Expectations,Associate - Associate VP: Mar 2023,,,Analyst - Associate:Mar 2020,
Business Partner,Facilities Management,Facilities Management,1548,1-Apr-10,Gym Manager,Professional,1089,Egypt - Head Office,Male,13 Year(s) 2 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Above Expectations,Meets Expectations,,,,,Senior Specialist - A - Professional - C: Mar 2019
Business Partner,Facilities Management,Facilities Management,1555,1-May-10,Senior Construction & Maintenance Manager,Professional,1089,Egypt - Head Office,Male,13 Year(s) 1 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Above Expectations,Meets Expectations,Meets Expectations,,,,,
Business Partner,Facilities Management,Facilities Management,2673,1-Dec-21,Facilities Services Manager,Professional,1089,Egypt - Head Office,Female,1 Year(s) 6 Month(s) 19 Day(s),Meets Expectations,Hired 2021,Hired 2021,Hired 2021,Hired 2021,,,,,
Business Partner,Facilities Management,Facilities Management,2436,1-Aug-19,Senior Gym Trainer,Senior Specialist,1548,Egypt - Head Office,Male,3 Year(s) 10 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Hired 2019,Hired 2019,,Specialist - A - Senior Specialist - C: Mar 2022,,,
Business Partner,Facilities Management,Facilities Management,1633,1-Sep-10,Electromechanical Supervisor,Senior Specialist,1555,Egypt - Head Office,Male,12 Year(s) 9 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,,,,Specialist - A - Senior Specialist - C: Jul 2020,
Business Partner,Facilities Management,Facilities Management,2698,15-Jan-22,Facilities Engineer,Specialist,1555,Egypt - Head Office,Male,1 Year(s) 5 Month(s) 5 Day(s),Meets Expectations,Hired 2021,Hired 2021,Hired 2021,Hired 2021,,,,,
Business Partner,Finance,Finance,2558,15-Jan-21,Accountant,Analyst,239,Egypt - Head Office,Male,2 Year(s) 5 Month(s) 5 Day(s),Meets Expectations,Meets Expectations,Hired 2020,Hired 2020,Hired 2020,,,,,
Business Partner,Finance,Finance,2644,3-Oct-21,Accountant,Analyst,1889,Egypt - Head Office,Male,1 Year(s) 8 Month(s) 17 Day(s),Meets Expectations,Hired 2021,Hired 2021,Hired 2021,Hired 2021,,,,,
Business Partner,Finance,Finance,2671,5-Dec-21,Accountant,Analyst,1889,Egypt - Head Office,Male,1 Year(s) 6 Month(s) 15 Day(s),Above Expectations,Hired 2021,Hired 2021,Hired 2021,Hired 2021,,,,,
Business Partner,Finance,Finance,2572,1-Mar-21,Accountant,Analyst,1995,Egypt - Head Office,Male,2 Year(s) 3 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Hired 2021,Hired 2021,Hired 2021,,,,,
Business Partner,Finance,Finance,2787,13-Jun-22,Accountant,Analyst,2041,Kenya - Nairobi,Male,1 Year(s) 0 Month(s) 7 Day(s),Meets Expectations,Hired 2022,Hired 2022,Hired 2022,Hired 2022,,,,,
Business Partner,Finance,Finance,2550,1-Dec-20,Accountant,Analyst,2173,UAE - One Central,Male,2 Year(s) 6 Month(s) 20 Day(s),Meets Expectations,Meets Expectations,Hired 2020,Hired 2020,Hired 2020,,,,,
Business Partner,Finance,Finance,2746,1-Apr-22,Accountant,Analyst,2394,Egypt - Head Office,Female,1 Year(s) 2 Month(s) 19 Day(s),Meets Expectations,Hired 2022,Hired 2022,Hired 2022,Hired 2022,,,,,
Business Partner,Finance,Finance,2707,1-Feb-22,Accountant,Analyst,2507,Egypt - Head Office,Male,1 Year(s) 4 Month(s) 19 Day(s),Meets Expectations,Hired 2022,Hired 2022,Hired 2022,Hired 2022,,,,,
Business Partner,Finance,Finance,2770,1-May-22,Accountant,Analyst,2551,Egypt - Head Office,Male,1 Year(s) 1 Month(s) 19 Day(s),Meets Expectations,Hired 2022,Hired 2022,Hired 2022,Hired 2022,,,,,
Business Partner,Finance,Finance,2874,1-May-23,Junior Accountant,Analyst,2551,Egypt - Head Office,Male,0 Year(s) 1 Month(s) 19 Day(s),Hired 2023,Hired 2023,Hired 2023,Hired 2023,Hired 2023,,,,,
Business Partner,Finance,Finance,2587,1-May-21,Treasury Operations Officer,Analyst,2567,Egypt - Head Office,Male,2 Year(s) 1 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Hired 2021,Hired 2021,Hired 2021,,,,,
Business Partner,Finance,Finance,175,26-Nov-96,Senior Accountant,Associate,239,Egypt - Head Office,Male,26 Year(s) 6 Month(s) 24 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Above Expectations ,Meets Expectations,,,,,
Business Partner,Finance,Finance,2532,1-Sep-20,Senior Accountant,Associate,239,Egypt - Head Office,Male,2 Year(s) 9 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Hired 2020,Hired 2020,Hired 2020,,Analyst - Associate: Mar 2022,,,
Business Partner,Finance,Finance,2428,7-Jul-19,Senior Financial Analyst,Associate,268,Egypt - Head Office,Female,3 Year(s) 11 Month(s) 13 Day(s),Meets Expectations,Above Expectations,Meets Expectations ,Hired 2019,Hired 2019,,Analyst - Associate: Mar 2022,,,
Business Partner,Finance,Finance,2472,1-Jun-21,Accountant,Associate,268,Egypt - Head Office,Female,2 Year(s) 0 Month(s) 19 Day(s),Above Expectations,Meets Expectations,Above Expectations ,Hired 2019,Hired 2019,Analyst - Associate: Mar 2023,,,,
Business Partner,Finance,Finance,97,22-Dec-96,Senior Accountant,Associate,273,Egypt - Head Office,Male,26 Year(s) 5 Month(s) 28 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Partner,Finance,Finance,2055,7-May-17,Senior Treasury Officer,Associate,601,UAE - One Central,Male,6 Year(s) 1 Month(s) 13 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Above Expectations ,Above Expectations,,,,Analyst - Associate:Mar 2020,
Business Partner,Finance,Finance,2281,2-May-18,Senior Accountant,Associate,1029,UAE - One Central,Male,5 Year(s) 1 Month(s) 18 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,Analyst - Associate: Mar 2021,,
Business Partner,Finance,Finance,2470,1-Nov-19,Senior Treasury Officer,Associate,1655,Egypt - Head Office,Female,3 Year(s) 7 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Hired 2019,Hired 2019,,Analyst - Associate: Mar 2022,,,
Business Partner,Finance,Finance,2839,15-Dec-22,Senior Accountant,Associate,1656,Egypt - Head Office,Male,0 Year(s) 6 Month(s) 5 Day(s),Hired 2022,Hired 2022,Hired 2022,Hired 2022,Hired 2022,,,,,
Business Partner,Finance,Finance,2496,1-Jan-20,Senior Accountant,Associate,1889,Egypt - Head Office,Male,3 Year(s) 5 Month(s) 19 Day(s),Meets Expectations,Above Expectations,Above Expectations ,Hired 2019,Hired 2019,,Analyst - Associate: Mar 2022,,,
Business Partner,Finance,Finance,2689,2-Jan-22,Senior Accountant,Associate,1889,Egypt - Head Office,Female,1 Year(s) 5 Month(s) 18 Day(s),Meets Expectations,Hired 2021,Hired 2021,Hired 2021,Hired 2021,,,,,
Business Partner,Finance,Finance,2580,1-Apr-21,Senior Accountant,Associate,2394,Egypt - Head Office,Male,2 Year(s) 2 Month(s) 19 Day(s),Above Expectations,Above Expectations,Hired 2021,Hired 2021,Hired 2021,,Analyst - Associate: Mar 2022,,,
Business Partner,Finance,Finance,792,1-Oct-06,Finance Manager,Associate Director,239,Egypt - Head Office,Male,16 Year(s) 8 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,Vice President - Associate Director: Mar 2021,,
Business Partner,Finance,Finance,608,21-Nov-05,Senior Finance Manager,Associate Director,268,KSA - Riyadh,Male,17 Year(s) 6 Month(s) 29 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Above Expectations ,Meets Expectations,,,,Vice President - Associate Director:Mar 2020,
Business Partner,Finance,Finance,1159,22-Jun-08,Finance Manager,Associate Director,268,Jordan - Amman,Male,14 Year(s) 11 Month(s) 28 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,Vice President - Associate Director:Mar 2020,
Business Partner,Finance,Finance,2551,15-Dec-20,Finance Manager,Associate Director,273,Egypt - Head Office,Male,2 Year(s) 6 Month(s) 5 Day(s),Above Expectations,Meets Expectations,Hired 2020,Hired 2020,Hired 2020,Vice President - Associate Director: Mar 2023,,,,
Business Partner,Finance,Finance,793,1-Nov-06,Finance Manager,Associate Director,295,Egypt - Head Office,Male,16 Year(s) 7 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,Vice President - Associate Director: Mar 2023,,,,
Business Partner,Finance,Finance,791,1-Nov-06,Senior Finance Manager,Associate Director,567,UAE - DIFC,Male,16 Year(s) 7 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Above Expectations ,Above Expectations,,,,Vice President - Associate Director:Mar 2020,
Business Partner,Finance,Finance,1061,3-Feb-08,Senior Finance Manager,Associate Director,701,Egypt - Head Office,Male,15 Year(s) 4 Month(s) 17 Day(s),Above Expectations,Above Expectations,Meets Expectations ,Above Expectations ,Meets Expectations,,,,Vice President - Associate Director:Mar 2020,
Business Partner,Finance,Finance,2001,17-Aug-16,Senior Taxation Manager,Associate Director,808,Egypt - Head Office,Male,6 Year(s) 10 Month(s) 3 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,Vice President - Associate Director: Mar 2023,,,,Associate VP - Vice President: Mar 2019
Business Partner,Finance,Finance,2308,1-Jul-18,Senior Taxation Manager,Associate Director,808,Egypt - Head Office,Male,4 Year(s) 11 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,Vice President - Associate Director:Mar 2020,
Business Partner,Finance,Finance,2173,3-Apr-17,Finance Manager,Associate Director,1029,UAE - One Central,Male,6 Year(s) 2 Month(s) 17 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations,Vice President - Associate Director: Mar 2023,,,,
Business Partner,Finance,Finance,1657,1-Jun-08,Finance Manager,Associate Director,1656,Egypt - Head Office,Male,15 Year(s) 0 Month(s) 19 Day(s),Meets Expectations,Above Expectations,Above Expectations ,Above Expectations ,Meets Expectations,,Vice President - Associate Director: Mar 2022,,,Associate VP - Vice President: Mar 2019
Business Partner,Finance,Finance,1655,1-Nov-07,Senior Treasury Manager,Associate Director,2078,Egypt - Head Office,Female,15 Year(s) 7 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Above Expectations,,,,,Vice President - Associate Director: Mar 2019
Business Partner,Finance,Finance,2388,13-Jan-19,Senior Treasury Manager,Associate Director,2078,Egypt - Head Office,Female,4 Year(s) 5 Month(s) 7 Day(s),Meets Expectations,Above Expectations,Above Expectations ,Above Expectations ,Hired 2019,,,,Vice President - Associate Director:Mar 2020,
Business Partner,Finance,Finance,1889,5-Apr-15,Senior Finance Manager,Associate Director,2792,Egypt - Head Office,Male,8 Year(s) 2 Month(s) 15 Day(s),Above Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Above Expectations,,,Vice President - Associate Director: Mar 2021,,
Business Partner,Finance,Finance,2394,1-Mar-19,Senior Finance Manager,Associate Director,2792,Egypt - Head Office,Male,4 Year(s) 3 Month(s) 19 Day(s),Above Expectations,Above Expectations,Above Expectations ,Meets Expectations ,Hired 2019,,,Vice President - Associate Director: Mar 2021,,
Business Partner,Finance,Finance,2567,1-Mar-21,Senior Finance Manager - Treasury,Associate Director,2792,Egypt - Head Office,Male,2 Year(s) 3 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Hired 2021,Hired 2021,Hired 2021,,,,,
Business Partner,Finance,Finance,1647,1-Apr-07,Senior Accountant,Associate VP,273,Egypt - Head Office,Female,16 Year(s) 2 Month(s) 19 Day(s),Meets Expectations,Needs Development,Meets Expectations ,Meets Expectations ,Needs Development,,,,,
Business Partner,Finance,Finance,105,1-Oct-94,Accounting Manager,Associate VP,295,Egypt - Head Office,Male,28 Year(s) 8 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Partner,Finance,Finance,1942,22-Nov-15,Assistant Accounting Manager,Associate VP,791,UAE - DIFC,Male,7 Year(s) 6 Month(s) 28 Day(s),Meets Expectations,Meets Expectations,Above Expectations ,Meets Expectations ,Above Expectations,,,Associate - Associate VP: Mar 2021,,
Business Partner,Finance,Finance,1870,1-Mar-15,Assistant Accounting Manager,Associate VP,793,Egypt - Head Office,Female,8 Year(s) 3 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,Associate - Associate VP: Mar 2021,,
Business Partner,Finance,Finance,2781,15-May-22,Assistant Taxation Manager,Associate VP,808,Egypt - Head Office,Male,1 Year(s) 1 Month(s) 5 Day(s),Meets Expectations,Hired 2022,Hired 2022,Hired 2022,Hired 2022,,,,,
Business Partner,Finance,Finance,1422,2-May-04,Assistant Accounting Manager,Associate VP,1032,Kuwait - Head Office,Male,19 Year(s) 1 Month(s) 18 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Partner,Finance,Finance,1743,1-Nov-12,Senior Accountant,Associate VP,1159,Jordan - Amman,Female,10 Year(s) 7 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,Associate - Associate VP: Mar 2021,,
Business Partner,Finance,Finance,2263,1-Feb-09,Assistant Accounting Manager,Associate VP,1656,Egypt - Head Office,Male,14 Year(s) 4 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Partner,Finance,Finance,2174,21-Feb-06,Senior Accountant,Associate VP,2234,Pakistan - Karachi,Male,17 Year(s) 3 Month(s) 29 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations,,Associate - Associate VP: Mar 2022,,,
Business Partner,Finance,Finance,2175,1-Sep-11,Senior Accountant,Associate VP,2234,Pakistan - Karachi,Male,11 Year(s) 9 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations,,Associate - Associate VP: Mar 2022,,,
Business Partner,Finance,Finance,2627,1-Aug-21,Treasury Operations Senior Officer,Associate VP,2567,Egypt - Head Office,Female,1 Year(s) 10 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Hired 2021,Hired 2021,Hired 2021,Associate - Associate VP: Mar 2023,,,,
Business Partner,Finance,Finance,2499,5-Jan-20,Senior Financial Analyst,Associate VP,2877,Egypt - Head Office,Male,3 Year(s) 5 Month(s) 15 Day(s),Above Expectations,Above Expectations,Meets Expectations,Hired 2019,Hired 2019,,Associate - Associate VP: Mar 2022,,,
Business Partner,Finance,Finance,273,7-Jul-97,Senior Finance Director,Director,268,Egypt - Head Office,Male,25 Year(s) 11 Month(s) 13 Day(s),Meets Expectations,Above Expectations,Meets Expectations ,Meets Expectations ,Above Expectations,,,,,
Business Partner,Finance,Finance,276,14-Oct-97,Finance Director,Director,268,Egypt - Head Office,Male,25 Year(s) 8 Month(s) 6 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Partner,Finance,Finance,295,16-Feb-97,Senior Finance Director,Director,268,Egypt - Head Office,Male,26 Year(s) 4 Month(s) 4 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Partner,Finance,Finance,1029,3-Jan-08,Senior Finance Director,Director,268,UAE - One Central,Male,15 Year(s) 5 Month(s) 17 Day(s),Meets Expectations,Above Expectations,Above Expectations ,Above Expectations ,Above Expectations,,,,,
Business Partner,Finance,Finance,1032,1-Jan-08,Senior Finance Director,Director,268,Kuwait - Head Office,Male,15 Year(s) 5 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Partner,Finance,Finance,2234,1-Jan-00,Finance Director,Director,273,Pakistan - Karachi,Male,23 Year(s) 5 Month(s) 19 Day(s),Above Expectations,Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations,,,,,
Business Partner,Finance,Finance,239,1-Feb-06,Senior Finance Director,Director,701,Egypt - Head Office,Male,17 Year(s) 4 Month(s) 19 Day(s),Meets Expectations,Above Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Partner,Finance,Finance,1651,1-Jun-97,Finance Director,Director,1656,Egypt - Head Office,Male,26 Year(s) 0 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Needs Development,,,,,
